Year Month,Age Under 40,Age 40-60,Age Over 60,Education High School or Less,Education Some College,Education BA or Higher,Income under 50k,Income 50-100k,Income Over 100k,Numeracy Low,Numeracy High,Region West,Region Midwest,Region South,Region Northeast
201306,56.47,47.23,41.68,46.50,51.10,50.72,48.61,47.10,53.53,53.08,47.65,58.15,47.25,49.09,42.72
201307,51.21,45.38,36.62,38.91,49.71,47.99,41.60,47.10,48.91,43.79,46.88,47.53,45.43,46.84,43.14
201308,53.78,44.42,31.42,36.30,48.90,51.38,42.26,47.65,48.15,41.51,47.71,49.74,43.95,47.80,38.73
201309,52.71,47.06,30.13,38.61,48.84,52.33,40.48,50.47,51.28,40.60,49.64,49.58,44.05,49.47,38.90
201310,54.59,45.53,32.46,41.36,48.55,51.29,44.98,48.36,47.55,43.67,48.74,49.85,44.53,49.10,41.68
201311,53.23,46.95,33.11,42.87,47.29,51.39,43.69,48.74,50.33,43.30,49.42,51.22,43.57,49.21,42.56
201312,52.96,45.17,30.26,39.09,47.07,51.17,39.42,47.97,51.87,42.85,47.05,49.61,42.13,50.16,36.82
201401,57.01,46.14,31.85,41.80,50.40,53.89,43.66,50.61,53.66,44.43,51.01,49.96,46.41,51.97,44.60
201402,55.97,43.65,25.27,35.11,51.24,51.35,39.62,50.26,50.02,40.80,48.51,48.89,44.62,46.91,42.92
201403,60.38,45.52,30.39,41.43,51.82,53.13,43.40,53.12,51.14,46.02,50.38,45.89,49.49,52.87,42.71
201404,54.88,44.45,29.05,37.81,48.90,52.25,39.49,49.60,51.34,38.51,50.28,44.52,45.92,48.97,44.11
201405,57.78,45.18,33.01,40.56,50.02,54.68,41.89,51.89,52.39,43.96,51.12,45.82,50.84,50.59,44.68
201406,59.58,49.26,37.05,51.58,50.58,53.06,51.01,49.54,54.84,46.94,54.33,48.14,53.53,53.95,48.54
201407,59.75,49.97,39.68,50.04,51.98,55.43,48.75,52.72,56.91,48.63,54.57,50.32,57.88,52.69,47.01
201408,57.03,49.86,37.51,47.20,52.89,52.82,48.51,51.13,54.17,45.82,53.60,47.35,51.77,53.01,49.92
201409,56.62,51.55,31.64,46.78,52.65,53.18,47.10,52.03,54.44,46.45,52.96,48.71,52.41,50.91,50.83
201410,55.86,50.77,34.95,45.32,52.43,53.86,43.75,56.03,52.92,44.06,53.84,51.65,54.42,49.44,45.77
201411,54.59,51.47,33.24,50.78,47.40,51.90,45.13,52.75,53.12,46.00,52.23,48.67,51.28,53.06,41.74
201412,57.85,49.60,37.20,48.29,49.35,54.66,47.21,51.88,55.07,46.26,53.06,51.51,52.66,52.89,42.14
201501,59.26,51.71,42.43,50.81,53.92,54.97,50.35,53.64,56.80,51.29,54.35,52.23,56.88,53.96,48.11
201502,62.22,52.30,40.60,53.54,54.22,55.47,50.42,57.32,56.51,51.56,56.10,55.32,53.84,57.15,47.90
201503,63.29,54.27,37.94,53.62,56.20,57.13,49.52,58.11,60.89,54.89,56.11,50.45,58.51,59.08,49.33
201504,62.32,52.60,39.21,52.78,54.74,55.65,51.85,55.39,56.88,53.11,55.16,49.52,60.29,54.82,51.72
201505,64.73,52.51,30.78,53.04,53.54,55.69,49.16,58.68,55.73,51.61,55.43,50.05,55.83,56.29,52.84
201506,67.98,51.32,35.18,57.48,50.93,57.53,50.68,59.31,57.74,51.68,57.47,52.58,57.17,58.42,51.22
201507,63.24,52.44,34.42,51.75,51.97,58.65,50.36,57.13,56.80,52.54,55.46,51.63,57.18,57.02,49.33
201508,64.68,50.96,38.39,56.77,50.84,56.27,49.25,62.06,52.86,53.53,55.49,54.97,54.48,55.38,53.89
201509,63.52,51.70,40.16,53.01,51.30,59.02,46.51,62.16,56.92,53.09,55.63,58.09,53.36,55.15,51.46
201510,63.22,52.03,39.98,53.77,51.81,57.95,49.35,59.59,55.62,52.81,55.76,55.63,56.70,54.16,52.93
201511,67.79,53.73,37.31,60.30,54.17,56.69,49.89,64.98,56.57,55.14,58.14,57.45,58.74,57.18,54.83
201512,63.80,51.20,43.30,58.16,52.11,55.17,47.20,61.58,56.50,53.27,55.92,56.72,55.05,53.98,55.52
201601,62.04,52.28,52.48,58.65,54.56,55.16,51.74,61.22,55.38,52.22,57.82,55.69,58.22,54.87,55.95
201602,60.58,49.68,51.27,54.17,52.39,54.85,49.66,58.51,54.05,50.24,55.56,58.18,54.27,51.66,52.46
201603,59.96,52.49,43.66,52.35,53.34,56.45,51.32,58.91,52.98,51.49,55.47,58.44,55.02,52.81,50.75
201604,55.73,51.67,49.21,51.80,51.65,54.74,48.36,57.12,53.58,48.96,54.77,56.81,50.83,52.13,51.95
201605,60.06,52.57,52.25,58.78,53.61,53.92,54.84,58.06,53.18,54.53,55.84,54.97,59.46,54.01,53.41
201606,57.85,51.29,49.18,55.47,51.43,53.60,50.86,57.52,52.58,48.17,55.84,58.16,56.98,50.04,49.16
201607,58.96,51.31,44.04,52.01,53.91,53.79,47.90,57.45,56.04,46.13,56.60,54.41,53.95,52.28,52.42
201608,58.88,53.33,40.17,51.65,54.60,53.98,49.67,56.03,55.78,48.40,55.79,56.04,55.93,53.93,45.36
201609,58.89,55.26,43.01,54.10,56.43,54.50,49.05,59.05,58.68,48.27,58.05,56.48,53.34,57.83,49.00
201610,57.35,57.01,41.86,53.02,56.28,55.13,49.74,56.59,59.40,50.64,56.82,60.79,55.74,53.91,48.40
201611,56.77,54.04,40.10,49.54,54.46,54.35,49.44,54.75,54.77,49.71,54.67,53.29,52.70,53.20,52.43
201612,59.76,57.19,39.99,54.40,56.27,56.04,52.05,58.24,57.42,51.04,58.12,58.69,54.73,57.85,48.78
201701,60.99,57.52,40.74,59.52,57.11,53.56,55.58,57.97,55.42,53.06,58.01,58.35,55.78,57.37,53.06
